"name","constant","operant","region","atlas_id"
"agec",47.5634617,"([patient_age] - agec)","","SUBCOR "
"agec",47.5830239,"([patient_age] - agec)","","DK     "
"eTIVc",1528926.15,"([eTIV] - eTIVc)","","DK     "
"eTIVc",1521907.28,"([eTIV] - eTIVc)","","SUBCOR "
"NORME",0,"Z=(Volume-(Intercept+(agec1)+(agec2)+(agec3)+(sexq)+(eTIVc1)+(eTIVc2)+(eTIVc3)+(MFSq)+(GE)+(Philips)+(GE_X_MFSq)+(PHILIPS_X_MFSq)+(eTIVc_X_MFSq)+(AGEc_X_SEXq)+(eTIVc_X_GE)+(eTIVc_X_PHILIPS)))/RMSE","","DK     "
"NORME",0,"Z=(Volume-(Intercept+(agec1)+(agec2)+(agec3)+(sexq)+(eTIVc1)+(eTIVc2)+(eTIVc3)+(MFSq)+(GE)+(Philips)+(GE_X_MFSq)+(PHILIPS_X_MFSq)+(eTIVc_X_MFSq)+(AGEc_X_SEXq)+(eTIVc_X_GE)+(eTIVc_X_PHILIPS)))/RMSE","","SUBCOR "
"agec1",0.00556920610636796,"agec1 * agec","3rd_Ventricle_log","SUBCOR "
"agec2",9.60816703825073e-05,"agec2 * pow(agec, 2)","3rd_Ventricle_log","SUBCOR "
"agec3",-4.32301486842341e-07,"agec3 * pow(agec, 3)","3rd_Ventricle_log","SUBCOR "
"AGEc_X_SEXq",0.000859821292538419,"AGEc_X_SEXq * agec * [gender]","3rd_Ventricle_log","SUBCOR "
"eTIVc1",2.98485407782008e-07,"eTIVc1 * eTIVc","3rd_Ventricle_log","SUBCOR "
"eTIVc2",-1.06079039484658e-13,"eTIVc2 * pow(eTIVc, 2)","3rd_Ventricle_log","SUBCOR "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","3rd_Ventricle_log","SUBCOR "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","3rd_Ventricle_log","SUBCOR "
"eTIVc_X_MFSq",4.52895101623337e-08,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","3rd_Ventricle_log","SUBCOR "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","3rd_Ventricle_log","SUBCOR "
"GE",0.0460000999067007,"GE * G_[modality_manuf_id]","3rd_Ventricle_log","SUBCOR "
"GE_X_MFSq",-0.0520292691355061,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","3rd_Ventricle_log","SUBCOR "
"Intercept",2.96200144882726,"Intercept","3rd_Ventricle_log","SUBCOR "
"MFSq",0.00439319363293623,"MFSq * [magnetic_field_strength]","3rd_Ventricle_log","SUBCOR "
"Philips",0.00119317170480318,"Philips * P_[modality_manuf_id]","3rd_Ventricle_log","SUBCOR "
"PHILIPS_X_MFSq",-0.0328462649002678,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","3rd_Ventricle_log","SUBCOR "
"RMSE",0.120901571536519,"RMSE","3rd_Ventricle_log","SUBCOR "
"sexq",0.0411439968434785,"sexq * [gender]","3rd_Ventricle_log","SUBCOR "
"Volume",0,"[volume]","3rd_Ventricle_log","SUBCOR "
"agec1",1.72177039450229,"agec1 * agec","4th_Ventricle","SUBCOR "
"agec2",0.153724352452302,"agec2 * pow(agec, 2)","4th_Ventricle","SUBCOR "
"agec3",0,"agec3 * pow(agec, 3)","4th_Ventricle","SUBCOR "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","4th_Ventricle","SUBCOR "
"eTIVc1",0.00093079689531651,"eTIVc1 * eTIVc","4th_Ventricle","SUBCOR "
"eTIVc2",-2.30662001348257e-11,"eTIVc2 * pow(eTIVc, 2)","4th_Ventricle","SUBCOR "
"eTIVc3",-1.23354847889171e-15,"eTIVc3 * pow(eTIVc, 3)","4th_Ventricle","SUBCOR "
"eTIVc_X_GE",0.000311522757875328,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","4th_Ventricle","SUBCOR "
